,index,movieId,title,genres,databaseId,nbMentions
1182,1220,3484,"Skulls, The (2000)",Thriller,99091,1
1183,1221,3487,El Dorado (1966),Western,109449,7
1184,1222,3489,Hook (1991),Adventure|Comedy|Fantasy,115290,45
1185,1223,3490,Horror Express (1972),Horror,107615,1
1186,1224,3494,True Grit (1969),Adventure|Drama|Western,163024,11
1187,1225,3498,Midnight Express (1978),Drama,178317,1
1188,1226,3499,Misery (1990),Drama|Horror|Thriller,181097,53
1189,1227,3502,My Life (1993),Drama,106126,5
1190,1228,3504,Network (1976),Comedy|Drama,152567,4
1191,1229,3505,No Way Out (1987),Drama|Mystery|Thriller,136988,2
1192,1230,3506,North Dallas Forty (1979),Comedy|Drama,76198,2
1193,1231,3507,"Odd Couple, The (1968)",Comedy,106404,2
1194,1232,3508,"Outlaw Josey Wales, The (1976)",Action|Adventure|Drama|Thriller|Western,146941,12
1195,1233,3510,Frequency (2000),Drama|Thriller,189950,8
1196,1234,3512,Return to Me (2000),Drama|Romance,134966,1
1197,1235,3513,Rules of Engagement (2000),Drama|Thriller,201881,1
1198,1236,3515,Me Myself I (2000),Comedy|Romance,174822,1
1199,1237,3516,"Bell, Book and Candle (1958)",Comedy|Fantasy|Romance,195662,1
1200,1238,3526,Parenthood (1989),Comedy|Drama,164669,4
1201,1239,3527,Predator (1987),Action|Sci-Fi|Thriller,79451,5
1202,1241,3534,28 Days (2000),Drama,183459,8
1203,1242,3535,American Psycho (2000),Crime|Horror|Mystery|Thriller,94487,35
1204,1243,3536,Keeping the Faith (2000),Comedy|Drama|Romance,115334,2
1205,1244,3537,Where the Money Is (2000),Comedy|Drama,165683,1
1206,1245,3545,Cabaret (1972),Drama|Musical,97153,5
1207,1246,3548,Auntie Mame (1958),Comedy|Drama,162117,2
1208,1247,3549,Guys and Dolls (1955),Comedy|Musical|Romance,84907,2
1209,1248,3550,The Hunger (1983),Horror,197904,1
1210,1249,3551,Marathon Man (1976),Crime|Drama|Thriller,194349,3
1211,1250,3552,Caddyshack (1980),Comedy,161385,100
1212,1251,3554,Love and Basketball (2000),Drama|Romance,204341,7
1213,1253,3555,U-571 (2000),Action|Thriller|War,157345,2
1214,1254,3565,Where the Heart Is (2000),Comedy|Drama,164815,1
1215,1255,3576,"Hidden, The (1987)",Action|Horror|Sci-Fi,82380,1
1216,1256,3578,Gladiator (2000),Action|Adventure|Drama,171202,76
1217,1258,3591,Mr. Mom (1983),Comedy|Drama,121508,15
1218,1259,3593,Battlefield Earth (2000),Action|Sci-Fi,78436,3
1219,1260,3594,Center Stage (2000),Drama|Musical,146794,3
1220,1261,3600,Blue Hawaii (1961),Comedy|Musical,158022,1
1221,1262,3602,G.I. Blues (1960),Comedy|Musical|Romance,186393,2
1222,1263,3606,On the Town (1949),Comedy|Musical|Romance,148291,2
1223,1264,3608,Pee-wee's Big Adventure (1985),Adventure|Comedy,101131,2
1224,1265,3615,Dinosaur (2000),Adventure|Animation|Children,81492,10
1225,1266,3617,Road Trip (2000),Comedy,193711,17
1226,1267,3623,Mission: Impossible II (2000),Action|Adventure|Thriller,195134,15
1227,1268,3624,Shanghai Noon (2000),Action|Adventure|Comedy|Western,95511,19
1228,1269,3629,"Gold Rush, The (1925)",Adventure|Comedy|Romance,94659,1
1229,1270,3635,"Spy Who Loved Me, The (1977)",Action|Adventure|Thriller,100603,4
1230,1271,3638,Moonraker (1979),Action|Adventure|Sci-Fi|Thriller,162108,2
1231,1272,3646,Big Momma's House (2000),Comedy,108301,14
1232,1273,3649,American Gigolo (1980),Drama,165776,2
1233,1274,3660,Puppet Master (1989),Horror|Sci-Fi|Thriller,179294,1
1234,1275,3668,Romeo and Juliet (1968),Drama|Romance,140986,1
1235,1276,3669,Stay Tuned (1992),Comedy,101163,2
1236,1277,3670,Story of G.I. Joe (1945),War,158970,2
1237,1278,3671,Blazing Saddles (1974),Comedy|Western,99910,81
1238,1279,3672,Benji (1974),Adventure|Children,114545,2
1239,1280,3673,Benji the Hunted (1987),Adventure|Children,145479,1
1240,1281,3675,White Christmas (1954),Comedy|Musical|Romance,124461,4
1241,1282,3676,Eraserhead (1977),Drama|Horror,90691,10
1242,1283,3682,Magnum Force (1973),Action|Crime|Drama|Thriller,162703,5
1243,1284,3683,Blood Simple (1984),Crime|Drama|Film-Noir,140536,6
1244,1285,3686,Flatliners (1990),Horror|Sci-Fi|Thriller,170419,5
1245,1286,3691,Private School (1983),Comedy,105190,2
1246,1287,3696,Night of the Creeps (1986),Comedy|Horror|Sci-Fi|Thriller,193240,2
1247,1288,3697,Predator 2 (1990),Action|Sci-Fi|Thriller,95137,9
1248,1289,3698,"Running Man, The (1987)",Action|Sci-Fi,96909,17
1249,1290,3699,Starman (1984),Adventure|Drama|Romance|Sci-Fi,88486,4
1250,1291,3701,Alien Nation (1988),Crime|Drama|Sci-Fi|Thriller,137991,1
1251,1292,3702,Mad Max (1979),Action|Adventure|Sci-Fi,114759,45
1252,1293,3704,Mad Max Beyond Thunderdome (1985),Action|Adventure|Sci-Fi,104047,10
1253,1294,3705,Bird on a Wire (1990),Action|Comedy|Romance,152004,1
1254,1295,3706,Angel Heart (1987),Film-Noir|Horror|Mystery|Thriller,177620,1
1255,1296,3708,Firestarter (1984),Horror|Thriller,106186,3
1256,1297,3712,Soapdish (1991),Comedy,170710,8
1257,1298,3713,"Long Walk Home, The (1990)",Drama,132736,2
1258,1299,3715,Burglar (1987),Comedy|Crime,78352,1
1259,1300,3716,Fatal Beauty (1987),Action|Comedy|Crime|Drama,157062,1
1260,1301,3717,Gone in 60 Seconds (2000),Action|Crime,105031,43
1261,1302,3723,Hamlet (1990),Drama,116328,1
1262,1303,3724,Coming Home (1978),Drama|War,82421,1
1263,1304,3730,"Conversation, The (1974)",Drama|Mystery,179039,4
1264,1305,3734,Prince of the City (1981),Drama,97683,1
1265,1306,3735,Serpico (1973),Crime|Drama,119701,2
1266,1307,3740,Big Trouble in Little China (1986),Action|Adventure|Comedy|Fantasy,190661,7
1267,1308,3741,Badlands (1973),Crime|Drama|Thriller,125767,1
1268,1309,3744,Shaft (2000),Action|Crime|Thriller,84853,1
1269,1310,3745,Titan A.E. (2000),Action|Adventure|Animation|Children|Sci-Fi,117692,2
1270,1311,3751,Chicken Run (2000),Animation|Children|Comedy,90181,1
1271,1312,3752,"Me, Myself & Irene (2000)",Adventure|Comedy,131730,16
1272,1313,3753,"Patriot, The (2000)",Action|Drama|War,115691,42
1273,1314,3755,"Perfect Storm, The (2000)",Drama|Thriller,90114,10
1274,1315,3760,"Kentucky Fried Movie, The (1977)",Comedy,204057,3
1275,1316,3766,Missing in Action (1984),Action|War,97167,1
1276,1317,3773,House Party (1990),Comedy,103298,1
1277,1318,3785,Scary Movie (2000),Comedy|Horror,78186,98
1278,1320,3786,But I'm a Cheerleader (1999),Comedy,168565,1
1279,1321,3791,Footloose (1984),Drama,194253,20
1280,1322,3793,X-Men (2000),Action|Adventure|Sci-Fi,136586,8
1281,1324,3798,What Lies Beneath (2000),Drama|Horror|Mystery,83192,25
1282,1325,3801,Anatomy of a Murder (1959),Drama|Mystery,79401,2
1283,1326,3802,Freejack (1992),Action|Sci-Fi,96742,3
1284,1327,3814,Love and Death (1975),Comedy,202577,2
1285,1328,3819,Tampopo (1985),Comedy,168221,2
1286,1329,3820,Thomas and the Magic Railroad (2000),Children,109310,2
1287,1330,3821,Nutty Professor II: The Klumps (2000),Comedy,190953,3
1288,1331,3823,Wonderland (1999),Drama,109631,4
1289,1332,3824,Autumn in New York (2000),Drama|Romance,102442,1
1290,1333,3826,Hollow Man (2000),Horror|Sci-Fi|Thriller,187888,2
1291,1334,3827,Space Cowboys (2000),Action|Adventure|Comedy|Sci-Fi,118135,6
1292,1335,3840,Pumpkinhead (1988),Horror,196833,5
1293,1336,3841,Air America (1990),Action|Comedy,164934,1
1294,1337,3843,Sleepaway Camp (1983),Horror,129237,2
1295,1338,3844,Steel Magnolias (1989),Drama,172264,26
1296,1339,3852,"Tao of Steve, The (2000)",Comedy,122202,1
1297,1340,3861,"Replacements, The (2000)",Comedy,106761,14
1298,1341,3863,"Cell, The (2000)",Drama|Horror|Thriller,176312,3
1299,1342,3865,"Original Kings of Comedy, The (2000)",Comedy|Documentary,133444,7
1300,1343,3866,Sunset Strip (2000),Comedy,106614,3
1301,1344,3868,"Naked Gun: From the Files of Police Squad!, The (1988)",Action|Comedy|Crime|Romance,197041,15
1302,1345,3870,Our Town (1940),Drama,190244,1
1303,1346,3871,Shane (1953),Drama|Western,148764,3
1304,1347,3873,Cat Ballou (1965),Comedy|Western,202847,2
1305,1348,3877,Supergirl (1984),Action|Adventure|Fantasy,183380,4
1306,1349,3882,Bring It On (2000),Comedy,104766,10
1307,1351,3896,"Way of the Gun, The (2000)",Crime|Thriller,178414,1
1308,1352,3897,Almost Famous (2000),Drama,148527,10
1309,1353,3908,Urban Legends: Final Cut (2000),Horror,100838,1
1310,1354,3909,Woman on Top (2000),Comedy|Romance,168367,4
1311,1355,3910,Dancer in the Dark (2000),Drama|Musical,109433,5
1312,1356,3911,Best in Show (2000),Comedy,147995,13
1313,1357,3915,Girlfight (2000),Drama,84456,2
1314,1358,3916,Remember the Titans (2000),Drama,196460,46
1315,1359,3917,Hellraiser (1987),Horror,131382,42
1316,1360,3928,Abbott and Costello Meet Frankenstein (1948),Comedy|Horror,190076,3
1317,1361,3930,"Creature from the Black Lagoon, The (1954)",Adventure|Horror|Sci-Fi,179926,1
1318,1362,3936,Phantom of the Opera (1943),Horror|Musical|Thriller,162529,1
1319,1363,3945,Digimon: The Movie (2000),Adventure|Animation|Children,96460,3
1320,1364,3948,Meet the Parents (2000),Comedy,170722,57
1321,1366,3949,Requiem for a Dream (2000),Drama,119840,21
1322,1367,3959,"Time Machine, The (1960)",Action|Adventure|Sci-Fi,168568,1
1323,1368,3963,"Unsinkable Molly Brown, The (1964)",Musical,187358,1
1324,1369,3964,"Adventures of Ichabod and Mr. Toad, The (1949)",Animation|Children,120399,1
1325,1370,3967,Billy Elliot (2000),Drama,78326,1
1326,1371,3969,Pay It Forward (2000),Drama,151357,3
1327,1372,3973,Book of Shadows: Blair Witch 2 (2000),Crime|Horror|Mystery|Thriller,100599,3
1328,1373,3977,Charlie's Angels (2000),Action|Comedy,163696,6
1329,1375,3978,"Legend of Bagger Vance, The (2000)",Drama|Romance,201659,4
1330,1376,3979,Little Nicky (2000),Comedy,85159,28
1331,1377,3980,Men of Honor (2000),Drama,196951,4
1332,1378,3981,Red Planet (2000),Action|Sci-Fi|Thriller,201287,6
1333,1379,3984,Diamonds Are Forever (1971),Action|Adventure|Thriller,181849,5
1334,1380,3989,One Day in September (1999),Documentary,175190,3
1335,1381,3992,Malèna (2000),Drama|Romance|War,129390,1
1336,1382,3994,Unbreakable (2000),Drama|Sci-Fi,169012,43
1337,1383,3999,Vertical Limit (2000),Action|Adventure,141770,4
1338,1384,4001,Code of Silence (1985),Action,147901,1
1339,1385,4005,"Living Daylights, The (1987)",Action|Adventure|Thriller,77140,2
1340,1386,4006,Transformers: The Movie (1986),Adventure|Animation|Children|Sci-Fi,101247,10
1341,1387,4007,Wall Street (1987),Drama,82417,14
1342,1388,4008,Born on the Fourth of July (1989),Drama|War,146199,4
1343,1389,4010,Brewster's Millions (1985),Comedy,88412,3
1344,1390,4011,Snatch (2000),Comedy|Crime|Thriller,141045,31
1345,1391,4014,Chocolat (2000),Drama|Romance,163150,6
1346,1392,4016,"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy,103257,15
1347,1393,4018,What Women Want (2000),Comedy|Romance,126469,8
1348,1394,4019,Finding Forrester (2000),Drama,165425,1
1349,1395,4020,"Gift, The (2000)",Thriller,172088,4
1350,1396,4021,Before Night Falls (2000),Drama,150488,1
1351,1397,4022,Cast Away (2000),Drama,164755,49
1352,1398,4023,"Family Man, The (2000)",Comedy|Drama|Romance,192791,2
1353,1399,4025,Miss Congeniality (2000),Comedy|Crime,132973,60
1354,1400,4030,Dracula 2000 (2000),Horror,104551,2
1355,1401,4031,All the Pretty Horses (2000),Drama|Romance|Western,76746,1
1356,1402,4033,Thirteen Days (2000),Drama|Thriller|War,169509,1
1357,1403,4036,Shadow of the Vampire (2000),Drama|Horror,165442,2
1358,1404,4037,House of Games (1987),Crime|Film-Noir|Mystery|Thriller,100165,1
1359,1405,4039,Annie (1982),Children|Musical,80240,16
1360,1406,4040,Don't Tell Mom the Babysitter's Dead (1991),Comedy,198643,3
1361,1407,4047,Gettysburg (1993),Drama|War,158529,1
1362,1408,4054,Save the Last Dance (2001),Drama|Romance,91112,17
1363,1409,4060,Love Field (1992),Drama,139977,1
1364,1410,4061,The Man in the Moon (1991),Drama|Romance,81416,1
1365,1411,4062,Mystic Pizza (1988),Comedy|Drama|Romance,115348,5
1366,1412,4066,I'm Gonna Git You Sucka (1988),Action|Comedy,122209,6
1367,1413,4067,Untamed Heart (1993),Drama|Romance,179126,8
1368,1414,4068,Sugar & Spice (2001),Comedy,170662,1
1369,1415,4069,"Wedding Planner, The (2001)",Comedy|Romance,177764,44
1370,1416,4079,Amazon Women on the Moon (1987),Comedy|Sci-Fi,135188,1
1371,1417,4084,Beverly Hills Cop II (1987),Action|Comedy|Crime|Thriller,134617,3
1372,1418,4085,Beverly Hills Cop (1984),Action|Comedy|Crime|Drama,91481,34
1373,1419,4090,"Brave Little Toaster, The (1987)",Animation|Children,85417,13
1374,1420,4091,Can't Buy Me Love (1987),Comedy|Romance,138269,6
1375,1421,4093,Cop (1988),Thriller,94945,1
1376,1422,4102,Eddie Murphy Raw (1987),Comedy|Documentary,157334,2
1377,1423,4103,Empire of the Sun (1987),Action|Adventure|Drama|War,171708,7
1378,1424,4104,Ernest Goes to Camp (1987),Comedy,201999,1
1379,1425,4105,"Evil Dead, The (1981)",Fantasy|Horror|Thriller,141963,8
1380,1427,4109,Flowers in the Attic (1987),Drama|Thriller,142001,2
1381,1428,4115,Hiding Out (1987),Comedy,84201,1
1382,1429,4116,Hollywood Shuffle (1987),Comedy,94961,4
1383,1430,4121,Innerspace (1987),Action|Adventure|Comedy|Sci-Fi,178563,3
1384,1431,4124,Jaws: The Revenge (1987),Horror|Thriller,137503,3
1385,1432,4128,"Lost Boys, The (1987)",Comedy|Horror|Thriller,90552,22
1386,1433,4132,Mannequin (1987),Comedy|Romance,135902,1
1387,1434,4135,"Monster Squad, The (1987)",Adventure|Comedy|Horror,107799,3
1388,1435,4143,Valentine (2001),Horror|Mystery,78445,1
1389,1436,4148,Hannibal (2001),Horror|Thriller,185212,50
1390,1437,4153,Down to Earth (2001),Comedy|Fantasy|Romance,148947,7
1391,1438,4155,Sweet November (2001),Drama|Romance,91207,2
1392,1439,4159,3000 Miles to Graceland (2001),Action|Thriller,114709,1
1393,1440,4161,"Mexican, The (2001)",Action|Comedy,173889,5
1394,1441,4168,Get Over It (2001),Comedy|Romance,202437,1
1395,1442,4184,"Bishop's Wife, The (1947)",Comedy|Drama|Romance,187099,3
1396,1443,4200,Double Impact (1991),Action,76636,2
1397,1444,4205,Mermaids (1990),Comedy|Drama|Romance,200654,4
1398,1445,4210,Manhunter (1986),Action|Crime|Drama|Horror|Thriller,117623,9
1399,1446,4212,Death on the Nile (1978),Crime|Mystery,92437,1
1400,1447,4214,Revenge of the Nerds (1984),Comedy,202934,17
1401,1448,4215,Revenge of the Nerds II: Nerds in Paradise (1987),Comedy,198887,2
1402,1449,4218,River's Edge (1986),Crime|Drama,109635,2
1403,1450,4220,"Longest Yard, The (1974)",Comedy,194746,2
1404,1451,4221,Necessary Roughness (1991),Comedy,113550,1
1405,1452,4223,Enemy at the Gates (2001),Drama|War,98740,11
1406,1453,4224,Exit Wounds (2001),Action|Thriller,97570,2
1407,1454,4226,Memento (2000),Mystery|Thriller,146771,127
1408,1455,4227,"Brothers, The (2001)",Comedy|Drama,103097,2
1409,1456,4228,Heartbreakers (2001),Comedy|Crime|Romance,114453,1
1410,1457,4232,Spy Kids (2001),Action|Adventure|Children|Comedy,86152,9
1411,1458,4238,Along Came a Spider (2001),Action|Crime|Mystery|Thriller,90332,19
1412,1459,4239,Blow (2001),Crime|Drama,172109,31
1413,1460,4240,Just Visiting (2001),Comedy|Fantasy,98955,1
1414,1461,4241,Pokémon 3: The Movie (2001),Animation|Children,151180,1
1415,1462,4242,Beautiful Creatures (2000),Comedy|Crime|Drama|Thriller,124433,1
1416,1463,4246,Bridget Jones's Diary (2001),Comedy|Drama|Romance,166729,44
1417,1464,4247,Joe Dirt (2001),Adventure|Comedy|Mystery|Romance,200635,5
1418,1465,4248,Josie and the Pussycats (2001),Comedy,133356,1
1419,1466,4254,Crocodile Dundee in Los Angeles (2001),Comedy|Drama,144848,2
1420,1467,4255,Freddy Got Fingered (2001),Comedy,85739,4
1421,1468,4260,"Visit, The (2000)",Drama,95503,1
1422,1469,4262,Scarface (1983),Action|Crime|Drama,196336,71
1423,1470,4270,"Mummy Returns, The (2001)",Action|Adventure|Comedy|Thriller,85832,3
1424,1471,4275,Krull (1983),Action|Adventure|Fantasy|Sci-Fi,175946,3
1425,1472,4280,"World According to Garp, The (1982)",Comedy|Drama|Romance,86619,3
1426,1473,4286,"Home of Our Own, A (1993)",Drama,189495,2
1427,1474,4287,Paris When It Sizzles (1964),Comedy|Romance,98084,7
1428,1475,4292,Norma Rae (1979),Drama,180116,2
1429,1476,4296,Love Story (1970),Drama|Romance,169159,15
1430,1478,4299,"Knight's Tale, A (2001)",Action|Comedy|Romance,193037,11
1431,1479,4304,Startup.com (2001),Documentary,120262,2
1432,1480,4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,157924,78
1433,1481,4310,Pearl Harbor (2001),Action|Drama|Romance|War,102329,37
1434,1482,4316,Ice Castles (1978),Drama,135042,4
1435,1483,4321,City Slickers (1991),Comedy|Western,136861,3
1436,1484,4322,Eight Men Out (1988),Drama,96716,3
1437,1485,4327,"Magnificent Seven, The (1960)",Adventure|Western,83976,5
1438,1486,4329,Rio Bravo (1959),Western,92980,2
1439,1487,4333,Throw Momma from the Train (1987),Comedy|Crime,176922,4
1440,1488,4335,Midnight Madness (1980),Comedy,148135,1
1441,1489,4342,Big Eden (2000),Drama|Romance,198861,1
1442,1490,4344,Swordfish (2001),Action|Crime|Drama,201609,2
1443,1491,4351,Point Break (1991),Action|Crime|Thriller,102116,13
1444,1492,4356,Gentlemen Prefer Blondes (1953),Comedy|Musical|Romance,172721,1
1445,1493,4359,"Seven Year Itch, The (1955)",Comedy,98238,5
1446,1494,4361,Tootsie (1982),Comedy|Romance,165843,4
1447,1495,4366,Atlantis: The Lost Empire (2001),Adventure|Animation|Children|Fantasy,106269,2
1448,1496,4367,Lara Croft: Tomb Raider (2001),Action|Adventure,107370,33
1449,1497,4369,"Fast and the Furious, The (2001)",Action|Crime|Thriller,119087,48
1450,1499,4370,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi,193213,18
1451,1500,4371,Baby Boy (2001),Crime|Drama,177054,2
1452,1501,4373,Pootie Tang (2001),Comedy,123515,2
1453,1502,4378,Sexy Beast (2000),Crime|Drama,121751,1
1454,1503,4386,Cats & Dogs (2001),Children|Comedy,151231,5
1455,1504,4387,Kiss of the Dragon (2001),Action,165281,9
1456,1505,4388,Scary Movie 2 (2001),Comedy,143994,13
1457,1506,4396,"Cannonball Run, The (1981)",Action|Comedy,157029,4
1458,1507,4406,"Man Who Shot Liberty Valance, The (1962)",Crime|Drama|Western,113729,3
1459,1508,4428,"Misfits, The (1961)",Comedy|Drama|Romance|Western,104502,1
1460,1509,4430,Popcorn (1991),Horror,144716,1
1461,1510,4437,Suspiria (1977),Horror,144263,2
1462,1511,4443,Outland (1981),Action|Sci-Fi|Thriller,79001,4
1463,1512,4446,Final Fantasy: The Spirits Within (2001),Adventure|Animation|Fantasy|Sci-Fi,203371,8
1464,1513,4447,Legally Blonde (2001),Comedy|Romance,128167,52
1465,1514,4448,"Score, The (2001)",Action|Drama,194469,4
1466,1515,4450,Bully (2001),Crime|Drama|Thriller,79755,1
1467,1516,4451,Jump Tomorrow (2001),Comedy|Drama|Romance,132865,1
1468,1517,4462,18 Again! (1988),Comedy|Fantasy,88444,1
1469,1518,4466,Above the Law (1988),Action|Crime|Drama,187763,2
1470,1519,4474,Beaches (1988),Comedy|Drama|Musical,109030,23
1471,1520,4476,Big Business (1988),Comedy,125452,1
1472,1521,4479,Bird (1988),Drama|Musical,102457,3
1473,1522,4480,"Blob, The (1988)",Horror|Sci-Fi,93402,3
1474,1523,4483,Caddyshack II (1988),Comedy,106132,9
1475,1524,4487,Cocktail (1988),Drama|Romance,190445,4
1476,1525,4488,Colors (1988),Action|Crime|Drama,168070,1
1477,1526,4489,Coming to America (1988),Comedy|Romance,147250,34
1478,1527,4492,Critters (1986),Comedy|Sci-Fi,118955,1
1479,1528,4499,Dirty Rotten Scoundrels (1988),Comedy,203231,3
1480,1529,4502,Ernest Saves Christmas (1988),Children|Comedy,165105,2
1481,1530,4506,Frantic (1988),Crime|Mystery|Thriller,181511,1
1482,1531,4509,"Great Outdoors, The (1988)",Comedy,192185,8
1483,1532,4516,Johnny Be Good (1988),Comedy,81316,3
1484,1533,4519,"Land Before Time, The (1988)",Adventure|Animation|Children|Fantasy,194202,13
1485,1534,4520,License to Drive (1988),Comedy,154329,5
1486,1535,4525,Moving (1988),Comedy,184019,1
1487,1536,4531,Red Heat (1988),Action,124780,2
1488,1537,4532,Return of the Living Dead Part II (1988),Comedy|Horror,191225,1
1489,1538,4533,"Return of the Living Dead, The (1985)",Comedy|Horror|Sci-Fi,114652,1
1490,1540,4541,"Serpent and the Rainbow, The (1988)",Horror,200811,3
1491,1541,4545,Short Circuit (1986),Comedy|Sci-Fi,189140,1
1492,1542,4553,They Live (1988),Action|Sci-Fi|Thriller,78670,20
1493,1543,4558,Twins (1988),Comedy,184870,8
1494,1544,4564,Always (1989),Drama|Fantasy|Romance,167522,2
1495,1545,4565,American Ninja (1985),Action|Adventure,93065,5
1496,1546,4566,American Ninja 2: The Confrontation (1987),Action|Adventure,124500,1
1497,1547,4571,Bill & Ted's Excellent Adventure (1989),Adventure|Comedy|Sci-Fi,147314,10
1498,1548,4572,Black Rain (1989),Action|Crime|Drama,157564,1
1499,1549,4580,Cyborg (1989),Action|Sci-Fi,175175,3
1500,1550,4588,Eddie and the Cruisers II: Eddie Lives! (1989),Drama|Musical,99120,1
1501,1551,4589,Eddie and the Cruisers (1983),Drama|Musical|Mystery,75822,1
1502,1552,4595,Fat Man and Little Boy (1989),Drama,203270,1
1503,1553,4599,Great Balls of Fire! (1989),Drama,156123,3
1504,1554,4601,Happy Together (1989),Drama|Romance,177445,1
1505,1555,4602,Harlem Nights (1989),Comedy|Crime|Romance,169344,2
1506,1556,4613,K-9 (1989),Action|Comedy|Crime,89158,1
1507,1557,4614,Kickboxer (1989),Action,193179,7
1508,1558,4619,Little Monsters (1989),Comedy,140495,5
1509,1559,4621,Look Who's Talking (1989),Comedy|Romance,157578,8
1510,1560,4623,Major League (1989),Comedy,90472,19
1511,1561,4624,Meet the Feebles (1989),Animation|Comedy|Musical,104220,1
1512,1562,4629,Next of Kin (1989),Action|Crime|Thriller,80716,3
1513,1563,4633,Parents (1989),Comedy|Drama|Horror,96637,1
1514,1564,4636,"Punisher, The (1989)",Action,148625,1
1515,1565,4638,Jurassic Park III (2001),Action|Adventure|Sci-Fi|Thriller,151596,5
1516,1566,4639,America's Sweethearts (2001),Comedy|Romance,109621,2
1517,1567,4643,Planet of the Apes (2001),Action|Adventure|Drama|Sci-Fi,168337,3
1518,1568,4649,Wet Hot American Summer (2001),Comedy,189582,3
1519,1569,4654,Road House (1989),Action|Drama,93226,1
1520,1570,4662,"See No Evil, Hear No Evil (1989)",Comedy|Crime,176645,3
1521,1571,4670,"Stepfather, The (1987)",Horror|Thriller,199680,1
1522,1572,4673,Tango & Cash (1989),Action|Comedy|Crime|Thriller,88467,5
1523,1573,4674,Tap (1989),Drama,136195,3
1524,1574,4677,Turner & Hooch (1989),Comedy|Crime,96841,15
1525,1575,4679,Uncle Buck (1989),Comedy,177915,34
1526,1576,4680,Vampire's Kiss (1989),Comedy|Fantasy|Horror,91649,2
1527,1577,4681,"War of the Roses, The (1989)",Comedy|Drama,174148,6
1528,1578,4683,"Wizard, The (1989)",Adventure|Children|Comedy|Drama,84332,2
1529,1579,4687,Billy Liar (1963),Comedy,135943,1
1530,1580,4690,"Cotton Club, The (1984)",Crime|Musical,152437,3
1531,1581,4700,"Princess Diaries, The (2001)",Children|Comedy|Romance,184125,20
1532,1582,4701,Rush Hour 2 (2001),Action|Comedy,95621,21
1533,1583,4704,Hatari! (1962),Adventure|Comedy,154640,2
1534,1584,4710,"Shootist, The (1976)",Drama|Western,153939,6
1535,1585,4713,Altered States (1980),Drama|Sci-Fi,179956,1
1536,1586,4718,American Pie 2 (2001),Comedy,163739,19
1537,1587,4720,"Others, The (2001)",Drama|Horror|Mystery|Thriller,131178,55
1538,1588,4721,American Outlaws (2001),Action|Comedy|Western,181400,1
1539,1589,4727,Captain Corelli's Mandolin (2001),Drama|Romance|War,81474,3
1540,1590,4728,Rat Race (2001),Comedy,151453,7
1541,1591,4732,Bubble Boy (2001),Comedy,173267,2
1542,1592,4734,Jay and Silent Bob Strike Back (2001),Adventure|Comedy,169717,8
1543,1593,4735,Ghosts of Mars (2001),Horror|Sci-Fi|Thriller,187540,2
1544,1594,4738,Happy Accidents (2000),Romance|Sci-Fi,128938,2
1545,1595,4744,Jeepers Creepers (2001),Horror,107175,42
1546,1596,4745,O (2001),Drama,160266,5
1547,1597,4748,3 Ninjas (1992),Action|Children|Comedy,145868,4
1548,1598,4754,"Wicker Man, The (1973)",Drama|Horror|Mystery|Thriller,94864,1
1549,1599,4755,Wish Upon a Star (1996),Comedy,171808,1
1550,1600,4757,Rock Star (2001),Comedy|Drama|Musical,191690,1
1551,1601,4759,Two Can Play That Game (2001),Comedy|Drama,174924,2
1552,1602,4770,"Glass House, The (2001)",Thriller,186901,4
1553,1603,4771,Hardball (2001),Drama,167919,1
1554,1604,4776,Training Day (2001),Crime|Drama|Thriller,101523,44
1555,1605,4792,13 Ghosts (1960),Horror,97146,12
1556,1606,4799,"It's a Mad, Mad, Mad, Mad World (1963)",Action|Adventure|Comedy|Crime,123629,10
1557,1607,4803,Play Misty for Me (1971),Drama|Thriller,117261,2
1558,1608,4814,Don't Say a Word (2001),Thriller,163510,3
1559,1609,4816,Zoolander (2001),Comedy,141732,54
1560,1610,4823,Serendipity (2001),Comedy|Romance,92989,20
1561,1611,4827,"Boogeyman, The (1980)",Horror,176523,2
1562,1612,4833,"Changeling, The (1980)",Horror|Mystery|Thriller,91974,3
1563,1613,4834,Cheech & Chong's Next Movie (1980),Comedy,162007,7
1564,1614,4835,Coal Miner's Daughter (1980),Drama,174337,2
1565,1615,4839,Death Ship (1980),Horror,126667,1
1566,1616,4844,Bandits (2001),Comedy|Crime|Romance,155346,2
1567,1617,4848,Mulholland Drive (2001),Crime|Drama|Film-Noir|Mystery|Thriller,132803,6
1568,1618,4855,Dirty Harry (1971),Action|Crime|Thriller,188480,21
1569,1619,4857,Fiddler on the Roof (1971),Drama|Musical,169617,11
1570,1620,4865,From Hell (2001),Crime|Horror|Mystery|Thriller,176412,1
1571,1621,4867,Riding in Cars with Boys (2001),Comedy|Drama,122369,3
1572,1622,4873,Waking Life (2001),Animation|Drama|Fantasy,191602,1
1573,1623,4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,84001,43
1574,1624,4880,Life as a House (2001),Drama,139942,1
1575,1625,4881,"Man Who Wasn't There, The (2001)",Crime|Drama,112493,2
