,title,databaseId,Unnamed: 0,imdbID,genres,directors,actors,movielensID,year,country
826,The Long Voyage Home,84517,32537,32728,Action|Drama|War,John Ford,"John Wayne, Thomas Mitchell, Ian Hunter",48123,1940.0,USA
827,Smiley,84524,2238,2025667,Horror,Michael J. Gallagher,"Caitlin Gerard, Melanie Papalia, Shane Dawson",107684,2012.0,USA
829,Fist of Fury,181941,31703,68767,Drama|Action|Thriller,Wei Lo,"Bruce Lee, Nora Miao, James Tien",4438,1972.0,Hong Kong
830,Swimfan,84561,34246,283026,Drama|Thriller,John Polson,"Jesse Bradford, Erika Christensen, Shiri Appleby",5564,2002.0,USA
831,Alien 2: On Earth,84597,21729,78749,Horror|Science Fiction,Ciro Ippolito,Belinda Mayne,165589,1980.0,Italy
832,Jobs,84710,1222,2357129,Drama|History,Joshua Michael Stern,"Ashton Kutcher, Dermot Mulroney, Josh Gad",104303,2013.0,USA
834,Flatliners,170419,30366,99582,Drama|Horror|Science Fiction|Thriller,Joel Schumacher,"Kiefer Sutherland, Kevin Bacon, Julia Roberts",3686,1990.0,USA
835,Birdman,84769,3497,2562232,Drama|Comedy,Alejandro González Iñárritu,"Michael Keaton, Zach Galifianakis, Edward Norton",112183,2014.0,USA
836,Solitary Man,84772,39844,1294213,Comedy|Drama|Romance,Brian Koppelman,"Michael Douglas, Susan Sarandon, Jesse Eisenberg",78774,2009.0,USA
837,The Triplets of Belleville,84779,36980,286244,Drama|Animation|Comedy,Sylvain Chomet,"Michèle Caucheteux, Jean-Claude Donda, Michel Robin",6773,2003.0,France
838,Manos: The Hands of Fate,84788,27423,60666,Horror,Harold P. Warren,"Tom Neyman, John Reynolds, Diane Adelson",26157,1966.0,USA
839,Pretty Woman,84798,35184,100405,Romance|Comedy,Garry Marshall,"Richard Gere, Julia Roberts, Jason Alexander",597,1990.0,USA
840,Noel,84823,28842,383534,Drama|Romance,Chazz Palminteri,"Susan Sarandon, Penélope Cruz, Paul Walker",30659,2004.0,USA
841,Two Weeks Notice,84828,35153,313737,Comedy|Romance,Marc Lawrence,"Sandra Bullock, Hugh Grant, Alicia Witt",5957,2002.0,USA
849,It,204794,38405,18033,Drama|Comedy|Romance,Clarence G. Badger,"Clara Bow, Antonio Moreno, William Austin",7253,1927.0,USA
850,Vertigo,84837,43351,52357,Mystery|Romance|Thriller,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes",903,1958.0,USA
851,The Secret in Their Eyes,84847,37917,1305806,Crime|Drama|Mystery|Romance,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago",71033,2009.0,Argentina
853,Shaft,84853,30448,162650,Action|Adventure|Crime|Thriller,John Singleton,"Samuel L. Jackson, Vanessa Williams, Christian Bale",3744,2000.0,Germany
909,Beauty and the Beast,199945,37785,38348,Drama|Fantasy|Romance,Jean Cocteau,"Jean Marais, Josette Day, Mila Parély",7064,1946.0,France
910,The To Do List,84875,1441,1758795,Comedy|Romance,Maggie Carey,"Aubrey Plaza, Johnny Simmons, Bill Hader",105037,2013.0,USA
911,Futurama: Bender's Big Score,84903,34385,471711,Animation|Comedy|Science Fiction,Dwayne Carey-Hill,"Billy West, Katey Sagal, John DiMaggio",56251,2008.0,USA
913,Guys and Dolls,84907,30150,48140,Comedy|Music|Romance,Joseph L. Mankiewicz,"Marlon Brando, Jean Simmons, Frank Sinatra",3549,1955.0,USA
931,Heidi,159244,33162,28988,Drama|Family|Music,Allan Dwan,"Shirley Temple, Jean Hersholt, Arthur Treacher",5099,1937.0,USA
932,Adventures of Captain Marvel,84974,44175,33317,Fantasy|Action|Science Fiction|Family,John English,"Tom Tyler, Frank Coghlan Jr., William 'Billy' Benedict",93520,1941.0,USA
933,Simon Birch,85003,26687,124879,Comedy|Drama|Family,Mark Steven Johnson,"Ian Michael Smith, Joseph Mazzello, Ashley Judd",2236,1998.0,USA
935,The Matrix,140395,27059,133093,Action|Sci-Fi,Andy Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",2571,1999.0,USA
936,Teenage Mutant Ninja Turtles III,85079,29981,108308,Action|Adventure|Comedy|Family|Fantasy|Science Fiction,Stuart Gillard,"Elias Koteas, Paige Turco, Stuart Wilson",3440,1993.0,USA
937,The Astronaut's Wife,85082,28577,138304,Drama|Science Fiction|Thriller,Rand Ravich,"Charlize Theron, Johnny Depp, Joe Morton",2827,1999.0,USA
938,The Prisoner,85106,7372,48512,Drama,Peter Glenville,"Alec Guinness, Jack Hawkins, Wilfrid Lawson",125207,1955.0,UK
939,The Player,85120,26745,105151,Comedy|Drama,Robert Altman,"Tim Robbins, Greta Scacchi, Fred Ward",2289,1992.0,USA
940,Little Nicky,85159,30832,185431,Comedy|Fantasy|Romance,Steven Brill,"Adam Sandler, Patricia Arquette, Harvey Keitel",3979,2000.0,USA
941,The Summit,85183,2701,2363471,Adventure|Documentary,Nick Ryan,"Christine Barnes, Hoselito Bite, Marco Confortola",109280,2012.0,Ireland
942,The Great Gilly Hopkins,85195,23019,1226766,Comedy|Drama|Family,Stephen Herek,Sophie Nélisse,168792,2015.0,USA
943,Dahmer,85198,40418,285728,Drama|Horror,David Jacobson,"Jeremy Renner, Bruce Davison, Artel Great",8062,2002.0,USA
945,When Ladies Meet,85204,42403,24763,Comedy|Romance,Harry Beaumont,"Ann Harding, Robert Montgomery, Myrna Loy",87558,1933.0,USA
946,K2,85298,37467,102178,Thriller|Action|Adventure|Drama,Franc Roddam,"Michael Biehn, Matt Craven, Annie Grindlay",69542,1991.0,UK
947,Patch Adams,85301,26904,129290,Comedy|Drama,Tom Shadyac,"Robin Williams, Daniel London, Monica Potter",2431,1998.0,USA
949,The Babysitter,165484,26615,112438,Drama|Thriller,Guy Ferland,"Alicia Silverstone, Jeremy London, J.T. Walsh",217,1995.0,USA
950,Big Top Pee-wee,85414,31787,94744,Comedy|Family,Randal Kleiser,"Paul Reubens, Penelope Ann Miller, Kris Kristofferson",4477,1988.0,USA
951,The Brave Little Toaster,85417,31025,92695,Fantasy|Adventure|Animation|Comedy|Family|Music,Jerry Rees,"Jon Lovitz, Timothy Stack, Timothy E. Day",4090,1987.0,USA
952,This Is 40,85423,45598,1758830,Comedy,Judd Apatow,"Paul Rudd, Leslie Mann, Maude Apatow",99117,2012.0,USA
954,The Falls,85430,32818,80715,Drama|Science Fiction,Peter Greenaway,"Peter Westley, Aad Wirtz, Michael Murray",4935,1980.0,UK
955,7 Days in Havana,85442,7793,1797348,Drama,Laurent Cantet,"Josh Hutcherson, Vladimir Cruz, Magali Wilson",126546,2012.0,France
956,A Haunted House,85502,45777,2243537,Comedy|Horror,Michael Tiddes,"Marlon Wayans, Essence Atkins, Marlene Forte",99787,2013.0,USA
958,The Black Panther,182404,22623,75764,Crime|Drama|Horror,Ian Merrick,Donald Sumpter,167810,1977.0,UK
959,Confessions of a Teenage Drama Queen,85566,38631,361467,Comedy,Sara Sugarman,"Lindsay Lohan, Megan Fox, Adam Garcia",7316,2004.0,USA
960,54,85575,26635,120577,Music|Drama,Mark Christopher,"Ryan Phillippe, Salma Hayek, Sela Ward",2188,1998.0,USA
962,Fools Rush In,175282,14504,119141,Drama|Comedy|Romance,Andy Tennant,"Matthew Perry, Salma Hayek, Jon Tenney",1457,1997.0,USA
963,The Texas Chain Saw Massacre,85612,26934,72271,Horror,Tobe Hooper,"Marilyn Burns, Edwin Neal, Allen Danziger",2459,1974.0,USA
964,American Gangster,85637,34278,765429,Drama|Crime,Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor",55765,2007.0,USA
965,The Judge,85645,4350,1872194,Drama,David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga",115170,2014.0,USA
966,Into Thin Air: Death on Everest,85648,10227,118949,Adventure|Action|Drama,Robert Markowitz,Peter Horton,134029,1997.0,USA
967,I Love You Phillip Morris,85665,38952,1045772,Comedy|Drama|Romance,Glenn Ficarra,"Jim Carrey, Ewan McGregor, Leslie Mann",74275,2009.0,France
968,The Ninth Gate,85668,29724,142688,Horror|Mystery|Thriller,Roman Polanski,"Johnny Depp, Frank Langella, Lena Olin",3355,1999.0,Spain
969,Freddy Got Fingered,85739,31323,240515,Comedy,Tom Green,"Tom Green, Rip Torn, Marisa Coughlan",4255,2001.0,USA
977,Escape,180650,42997,32447,Drama|Thriller,Mervyn LeRoy,"Norma Shearer, Robert Taylor, Conrad Veidt",89268,1940.0,USA
978,Due Date,85750,40686,1231583,Comedy|Drama,Todd Phillips,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan",81537,2010.0,USA
979,Society,85753,34344,98354,Comedy|Drama|Horror,Brian Yuzna,"Billy Warlock, Devin DeVasquez, Evan Richards",5606,1989.0,USA
980,Spetters,85755,33498,81547,Drama|Romance,Paul Verhoeven,"Hans van Tongeren, Renée Soutendijk, Toon Agterberg",5249,1980.0,Netherlands
982,Kick-Ass,198707,39295,1250777,Action|Crime,Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz",76251,2010.0,UK
983,Rolling Thunder,85811,39977,76637,Action|Crime|Drama|Thriller,John Flynn,"William Devane, Tommy Lee Jones, Linda Haynes",7923,1977.0,USA
984,The Mummy Returns,85832,31358,209163,Adventure|Action|Fantasy,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah",4270,2001.0,USA
988,Bandits,155346,32611,219965,Action|Comedy|Crime|Romance,Barry Levinson,"Bruce Willis, Billy Bob Thornton, Cate Blanchett",4844,2001.0,USA
989,The Rage: Carrie 2,85863,27033,144814,Horror|Thriller|Science Fiction,Katt Shea,"Emily Bergl, Jason London, Dylan Bruno",2548,1999.0,USA
990,Inspector Gadget,85868,28125,141369,Action|Adventure|Comedy|Family,David Kellogg,"Matthew Broderick, Rupert Everett, Joely Fisher",2720,1999.0,USA
991,Harry Potter and the Chamber of Secrets,85875,34802,295297,Adventure|Fantasy|Family,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson",5816,2002.0,UK
992,Cliffhanger,85879,31487,106582,Action|Adventure|Thriller,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker",434,1993.0,USA
993,From the Hip,85925,28291,93051,Comedy|Drama,Bob Clark,"Judd Nelson, Elizabeth Perkins, John Hurt",2751,1987.0,USA
994,Austin Powers in Goldmember,85951,34029,295178,Comedy|Crime|Science Fiction,Jay Roach,"Mike Myers, Beyoncé Knowles, Seth Green",5481,2002.0,USA
995,In the Heart of the Sea,85961,5077,1390411,Thriller|Drama|Adventure|Action|History,Ron Howard,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson",117466,2015.0,USA
996,Backdraft,85963,28959,101393,Action|Crime|Drama|Mystery|Thriller,Ron Howard,"Kurt Russell, William Baldwin, Robert De Niro",3107,1991.0,USA
997,Dragon: The Bruce Lee Story,85971,33063,106770,Drama,Rob Cohen,"Jason Scott Lee, Lauren Holly, Robert Wagner",5055,1993.0,USA
998,"Love, Rosie",86002,4464,1638002,Comedy|Romance,Christian Ditter,"Lily Collins, Sam Claflin, Christian Cooke",115667,2014.0,Germany
1000,Wings,86045,36778,61196,Drama,Larisa Shepitko,"Mayya Bulgakova, Sergey Nikonenko, Zhanna Bolotova",66758,1966.0,Soviet Union
1001,The Piano,86104,33142,107822,Drama|Romance,Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill",509,1993.0,New Zealand
1002,Dragon Tiger Gate,86128,33664,482930,Action|Thriller,Wilson Yip,"Yuk Long Wong, Louis Koo, Isabella Leong",53183,2006.0,Hong Kong
1003,Spy Kids,86152,31284,227538,Action|Comedy|Family|Adventure,Robert Rodriguez,"Alexa PenaVega, Daryl Sabara, Antonio Banderas",4232,2001.0,USA
1004,Ayn Rand: A Sense of Life,86164,26194,118662,Documentary,Michael Paxton,"Sharon Gless, Michael S. Berliner, Harry Binswanger",1780,1998.0,USA
1010,Black Sheep,186006,42548,115697,Comedy,Penelope Spheeris,"Chris Farley, David Spade, Tim Matheson",88,1996.0,USA
1011,Under the Tuscan Sun,86191,36964,328589,Romance,Audrey Wells,"Diane Lane, Raoul Bova, Sandra Oh",6765,2003.0,USA
1012,District 9,86245,37682,1136608,Science Fiction,Neill Blomkamp,"Sharlto Copley, David James, Jason Cope",70286,2009.0,USA
1013,Dudley Do-Right,86268,28578,160236,Comedy|Family|Romance,Hugh Wilson,"Brendan Fraser, Sarah Jessica Parker, Alfred Molina",2828,1999.0,USA
1014,G.I. Joe: The Rise of Cobra,86272,37697,1046173,Adventure|Action|Thriller|Science Fiction,Stephen Sommers,"Dennis Quaid, Channing Tatum, Marlon Wayans",70336,2009.0,USA
1022,Red Dust,164515,33630,23382,Drama,Victor Fleming,"Clark Gable, Jean Harlow, Gene Raymond",53038,1932.0,USA
1023,Batman Forever,86397,17044,112462,Action|Crime|Fantasy,Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey",153,1995.0,USA
1027,Children of the Corn,123700,26563,87050,Horror|Thriller,Fritz Kiersch,"Peter Horton, Linda Hamilton, R.G. Armstrong",2122,1984.0,USA
1028,The Departed,86428,32622,407887,Drama|Thriller|Crime,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",48516,2006.0,USA
1029,The Howling,86438,3757,82533,Horror,Joe Dante,"Dee Wallace, Patrick Macnee, Dennis Dugan",1130,1981.0,USA
1031,The Net,86449,26260,113957,Crime|Drama|Mystery|Thriller|Action,Irwin Winkler,"Sandra Bullock, Jeremy Northam, Dennis Miller",185,1995.0,USA
1032,Predators,86490,39927,1424381,Action|Science Fiction|Adventure|Thriller,Nimród Antal,"Adrien Brody, Laurence Fishburne, Topher Grace",79057,2010.0,USA
1041,The Jungle Book,185954,30249,110213,Adventure|Drama|Family,Stephen Sommers,"Jason Scott Lee, Cary Elwes, Lena Headey",362,1994.0,USA
1043,Indian Summer,86536,42671,69120,Drama,Valerio Zurlini,"Alain Delon, Giancarlo Giannini, Sonia Petrovna",88315,1972.0,Italy
1047,The Ten Commandments,132893,39472,14532,Drama,Cecil B. DeMille,"Theodore Roberts, Charles de Rochefort, Estelle Taylor",77433,1923.0,USA
1048,Nanny McPhee,86573,31519,396752,Fantasy|Comedy|Family,Kirk Jones,"Emma Thompson, Colin Firth, Angela Lansbury",43560,2005.0,USA
1049,Take the Money and Run,86576,26385,65063,Comedy|Crime,Woody Allen,"Woody Allen, Janet Margolin, Marcel Hillaire",1963,1969.0,USA
1050,The World According to Garp,86619,31386,84917,Comedy,George Roy Hill,"Robin Williams, Mary Beth Hurt, Glenn Close",4280,1982.0,USA
1051,Race to Witch Mountain,86652,37689,1075417,Adventure|Family|Fantasy|Science Fiction|Thriller|Action,Andy Fickman,"Dwayne Johnson, Carla Gugino, AnnaSophia Robb",70305,2009.0,USA
1052,Pain & Gain,86699,553,1980209,Thriller|Crime|Action,Michael Bay,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie",102033,2013.0,USA
1053,Tarzan & Jane,86733,25521,313680,Animation|Family,Steve Loter,Michael T. Weiss,174541,2002.0,USA
1054,Five Children and It,86772,31657,366450,Adventure|Fantasy|Drama|Science Fiction|Family,John Stephenson,"Tara Fitzgerald, Freddie Highmore, Alex Jennings",44155,2004.0,France
1055,Drumline,86815,35119,303933,Drama|Romance|Comedy|Music,Charles Stone III,"Nick Cannon, Zoe Saldana, Orlando Jones",5941,2002.0,USA
1056,Ed,86827,35748,116165,Comedy|Family,Bill Couturié,"Matt LeBlanc, Jayne Brook, Gene Ross",619,1996.0,USA
1057,Bride of Chucky,86831,26775,144120,Horror,Ronny Yu,"Jennifer Tilly, Brad Dourif, Katherine Heigl",2315,1998.0,Canada
1058,Smurfs: The Lost Village,86837,23805,2398241,Adventure|Animation|Comedy|Family,Kelly Asbury,Demi Lovato,170627,2017.0,USA
1059,Death Proof,86841,33733,1028528,Action|Thriller,Quentin Tarantino,"Kurt Russell, Zoë Bell, Rosario Dawson",53519,2007.0,USA
1060,Spies,86889,32705,19415,Action|Drama|Thriller,Fritz Lang,"Rudolf Klein-Rogge, Gerda Maurus, Willy Fritsch",48851,1928.0,Germany
1062,And Then There Were None,86912,32887,37515,Crime|Drama|Mystery,René Clair,"Barry Fitzgerald, Walter Huston, Louis Hayward",4969,1945.0,USA
1063,A River Runs Through It,86923,28937,105265,Drama,Robert Redford,"Craig Sheffer, Brad Pitt, Tom Skerritt",3100,1992.0,USA
1064,The Inn of the Sixth Happiness,86934,36667,51776,War|Drama,Mark Robson,"Ingrid Bergman, Robert Donat, Curd Jürgens",6630,1958.0,USA
1065,Rudolph and Frosty's Christmas in July,86986,15856,79828,Animation|Fantasy|Family,Jules Bass,Red Buttons,149574,1979.0,USA
1066,Incarnate,86987,22842,3216348,Horror|Thriller,Brad Peyton,Aaron Eckhart,168352,2016.0,USA
1068,Legion,86995,38867,1038686,Horror,Scott Stewart,"Paul Bettany, Dennis Quaid, Charles S. Dutton",73929,2010.0,USA
1069,G.I. Jane,87033,19134,119173,Action|Drama,Ridley Scott,"Demi Moore, Viggo Mortensen, Anne Bancroft",1586,1997.0,USA
1070,It Came from Outer Space,87048,27774,45920,Horror|Science Fiction,Jack Arnold,"Richard Carlson, Barbara Rush, Charles Drake",2661,1953.0,USA
1071,Tom and Jerry: The Fast and the Furry,87060,11512,487176,Action|Family|Animation|Comedy|Adventure,Bill Kopp,Charlie Adler,137389,2005.0,USA
1072,Pets,87064,6246,71992,Drama,Raphael Nussbaum,Ed Bishop,121707,1974.0,USA
1076,Casino Royale,175252,34749,61452,Adventure|Action|Comedy,Ken Hughes,"David Niven, Peter Sellers, Ursula Andress",5796,1967.0,UK
1080,The Walking Dead,139321,40885,28478,Crime|Horror|Science Fiction,Michael Curtiz,"Boris Karloff, Ricardo Cortez, Edmund Gwenn",8220,1936.0,USA
1081,Changeling,87090,35981,824747,Crime|Drama|Mystery,Clint Eastwood,"Angelina Jolie, Colm Feore, Amy Ryan",63062,2008.0,USA
1090,King Kong,176800,31132,360717,Adventure|Drama|Action,Peter Jackson,"Naomi Watts, Jack Black, Adrien Brody",41569,2005.0,New Zealand
1091,Hollywood Homicide,87094,36313,329717,Action|Adventure|Comedy|Thriller,Ron Shelton,"Harrison Ford, Josh Hartnett, Isaiah Washington",6484,2003.0,USA
1092,God's Not Dead 2,87114,20602,4824308,Drama,Harold Cronk,Melissa Joan Hart,162660,2016.0,USA
1094,Pocahontas,146845,32506,114148,Adventure|Animation|Drama|Family,Mike Gabriel,"Mel Gibson, Linda Hunt, Christian Bale",48,1995.0,USA
1095,Underworld: Awakening,87156,43808,1496025,Fantasy|Action|Horror,Måns Mårlind,"Kate Beckinsale, Michael Ealy, India Eisley",91974,2012.0,USA
1098,The Last Man on Earth,87161,39878,58700,Horror|Science Fiction,Ubaldo Ragona,"Vincent Price, Franca Bettoia, Emma Danieli",7891,1964.0,USA
1099,Whisper of the Heart,87187,27971,113824,Animation|Drama|Family,Yoshifumi Kondô,"Youko Honna, Issei Takahashi, Takashi Tachibana",26903,1995.0,Japan
1101,The Sitter,87193,43623,1366344,Comedy,David Gordon Green,"Jonah Hill, Ari Graynor, Sam Rockwell",91323,2011.0,USA
1102,Hotel Transylvania,87223,45089,837562,Animation|Comedy|Family|Fantasy,Genndy Tartakovsky,"Adam Sandler, Kevin James, Andy Samberg",97225,2012.0,USA
1104,Weekend,87231,43585,1714210,Drama|Romance,Andrew Haigh,"Tom Cullen, Chris New, Jonathan Race",91199,2011.0,UK
1105,The Toxic Avenger,87249,30376,90190,Science Fiction|Action|Comedy|Horror,Michael Herz,"Andree Maranda, Mitch Cohen, Jennifer Babtist",3693,1984.0,USA
1106,The Gnome-Mobile,87270,26479,61715,Fantasy|Comedy|Family,Robert Stevenson,"Walter Brennan, Matthew Garber, Karen Dotrice",2047,1967.0,USA
1107,Lilo & Stitch,87294,33945,275847,Animation|Family,Dean DeBlois,"Daveigh Chase, Chris Sanders, Tia Carrere",5444,2002.0,USA
1108,Spartan,87385,38740,360009,Mystery|Action|Drama|Thriller|Crime,David Mamet,"Val Kilmer, Derek Luke, William H. Macy",7348,2004.0,USA
1109,Magnolia,87411,29116,175880,Drama,Paul Thomas Anderson,"Tom Cruise, Jason Robards, Julianne Moore",3160,1999.0,USA
1110,Journey 2: The Mysterious Island,87413,43990,1397514,Adventure|Action|Science Fiction,Brad Peyton,"Josh Hutcherson, Dwayne Johnson, Michael Caine",92681,2012.0,USA
1111,3 Days to Kill,87451,2786,2172934,Action|Drama|Thriller|Crime,McG,"Kevin Costner, Hailee Steinfeld, Connie Nielsen",109569,2014.0,USA
1112,Delivery Man,87457,1910,2387559,Comedy,Ken Scott,"Vince Vaughn, Chris Pratt, Cobie Smulders",106540,2013.0,USA
1117,Rocky,203730,26375,75148,Drama,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young",1954,1976.0,USA
1118,The Last Emperor,87488,26382,93389,Drama|History,Bernardo Bertolucci,"John Lone, Joan Chen, Peter O'Toole",1960,1987.0,China
1119,The Great Mouse Detective,87521,26480,91149,Comedy|Animation|Family,Ron Clements,"Vincent Price, Barrie Ingham, Val Bettin",2048,1986.0,USA
1121,Wilson,87532,29561,37465,Romance|Drama|History|Music,Henry King,"Alexander Knox, Charles Coburn, Geraldine Fitzgerald",32999,1944.0,USA
1122,The Night of the Iguana,87541,40044,58404,Drama|Romance,John Huston,"Richard Burton, Ava Gardner, Deborah Kerr",7944,1964.0,USA
1123,The Temptress,87608,42769,17449,Romance|Drama,Fred Niblo,"Greta Garbo, Antonio Moreno, Marc McDermott",88595,1926.0,USA
1124,The Train,87612,27415,59825,Action|Drama|Thriller|War,John Frankenheimer,"Burt Lancaster, Paul Scofield, Jeanne Moreau",26148,1964.0,France
1125,Brother Bear,87655,37270,328880,Adventure|Animation|Family,Aaron Blaise,"Joaquin Phoenix, Jeremy Suarez, Rick Moranis",6889,2003.0,USA
1126,The Time Traveler's Wife,87664,37774,452694,Drama|Romance|Fantasy,Robert Schwentke,"Eric Bana, Rachel McAdams, Ron Livingston",70599,2009.0,USA
1132,The Man in the Iron Mask,182785,33823,31619,Romance|Drama,James Whale,"Louis Hayward, Joan Bennett, Warren William",53919,1939.0,USA
1133,Broken Flowers,87674,29990,412019,Comedy|Drama|Mystery|Romance,Jim Jarmusch,"Bill Murray, Jessica Lange, Sharon Stone",34437,2005.0,USA
1134,Blue Chips,87689,31297,109305,Drama,William Friedkin,"Nick Nolte, Mary McDonnell, J.T. Walsh",424,1994.0,USA
1135,Death Racers,87741,4860,1261046,Action|Adventure|Comedy|Science Fiction|Thriller,Roy Knyrim,"Violent J, Shaggy 2 Dope, Scott Levy",116758,2008.0,USA
1136,Ocean's Thirteen,87745,33688,496806,Crime|Thriller,Steven Soderbergh,"George Clooney, Brad Pitt, Matt Damon",53322,2007.0,USA
1137,Lucas,87787,30067,91445,Comedy|Drama|Romance,David Seltzer,"Corey Haim, Kerri Green, Charlie Sheen",3480,1986.0,USA
1138,Sunshine Cleaning,87826,36889,862846,Comedy|Drama,Christine Jeffs,"Amy Adams, Emily Blunt, Alan Arkin",67267,2008.0,USA
1139,Miracles from Heaven,87864,18098,4257926,Drama,Patricia Riggen,Jennifer Garner,155583,2016.0,USA
1140,The Devil's Rejects,87867,29956,395584,Drama|Horror|Crime,Rob Zombie,"Sid Haig, Sheri Moon Zombie, Bill Moseley",34323,2005.0,USA
1141,Raw,87886,22743,4954522,Drama|Horror,Julia Ducournau,Garance Marillier,168122,2016.0,France
1142,Mixed Nuts,87891,28287,110538,Comedy|Drama|Romance,Nora Ephron,"Steve Martin, Madeline Kahn, Robert Klein",275,1994.0,USA
1143,Carriers,87927,38635,806203,Action|Drama|Horror|Science Fiction|Thriller,David Pastor,"Chris Pine, Piper Perabo, Lou Taylor Pucci",73168,2009.0,USA
1144,One Fine Day,87954,35424,117247,Comedy|Romance,Michael Hoffman,"Michelle Pfeiffer, George Clooney, Mae Whitman",605,1996.0,USA
1146,Just My Luck,88006,31612,397078,Comedy|Drama|Family|Fantasy|Romance,Donald Petrie,"Lindsay Lohan, Chris Pine, Samaire Armstrong",43930,2006.0,USA
1150,Tangled,188780,40773,398286,Animation|Family,Nathan Greno,"Mandy Moore, Zachary Levi, Donna Murphy",81847,2010.0,USA
1151,Knights of the Round Table,88051,36403,45966,Romance|Action|Adventure|Fantasy|Drama,Richard Thorpe,"Robert Taylor, Ava Gardner, Mel Ferrer",6520,1953.0,USA
1153,Robbery,88102,19738,4840096,Comedy,Ka Wing Lee,J. Arie,160233,2015.0,Hong Kong
1154,Insidious: Chapter 2,88113,1403,2226417,Horror|Thriller,James Wan,"Patrick Wilson, Rose Byrne, Barbara Hershey",104908,2013.0,USA
1155,Saving Private Ryan,88141,26458,120815,Drama|History|War,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore",2028,1998.0,USA
1156,The Hours,88142,35253,274558,Drama,Stephen Daldry,"Meryl Streep, Nicole Kidman, Julianne Moore",5992,2002.0,USA
1157,The Warlords,88150,35282,913968,Action|Drama|History,Peter Chan,"Jet Li, Andy Lau, Takeshi Kaneshiro",60020,2007.0,Hong Kong
1158,It's Kind of a Funny Story,88172,40436,804497,Comedy|Drama,Anna Boden,"Keir Gilchrist, Zach Galifianakis, Emma Roberts",80693,2010.0,USA
1159,The Harvey Girls,88234,33773,38589,Western|Drama|Comedy|Music,George Sidney,"Judy Garland, Ray Bolger, John Hodiak",5375,1946.0,USA
1160,Dutch,88257,27851,101786,Comedy,Peter Faiman,"Ed O'Neill, Ethan Embry, JoBeth Williams",26726,1991.0,USA
1161,True Romance,88267,34218,108399,Action|Thriller|Crime|Romance,Tony Scott,"Christian Slater, Patricia Arquette, Dennis Hopper",555,1993.0,USA
1165,Dawn of the Dead,189887,38847,77402,Horror,George A. Romero,"David Emge, Ken Foree, Scott H. Reiniger",7387,1978.0,Italy
1166,Bull Durham,88309,29743,94812,Comedy|Romance,Ron Shelton,"Kevin Costner, Susan Sarandon, Tim Robbins",3361,1988.0,USA
1167,Seven Samurai,88410,26448,47478,Action|Drama,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",2019,1954.0,Japan
1169,Brewster's Millions,88412,42294,37557,Comedy,Allan Dwan,"Dennis O'Keefe, Helen Walker, June Havoc",87264,1945.0,USA
1170,18 Again!,88444,31749,94593,Fantasy|Comedy,Paul Flaherty,"Charlie Schlatter, George Burns, Tony Roberts",4462,1988.0,USA
1171,The Baby-Sitters Club,88451,29947,112435,Comedy|Drama|Family,Melanie Mayron,"Schuyler Fisk, Bre Blair, Rachael Leigh Cook",343,1995.0,USA
1173,Orphan,88463,37650,1148204,Horror|Thriller|Mystery,Jaume Collet-Serra,"Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman",70159,2009.0,USA
1174,Tango & Cash,88467,32196,98439,Action|Adventure|Comedy,Andrei Konchalovsky,"Sylvester Stallone, Kurt Russell, Teri Hatcher",4673,1989.0,USA
1186,The Phantom of the Opera,198580,28943,98090,Drama|Horror|Romance,Dwight H. Little,"Robert Englund, Jill Schoelen, Alex Hyde-White",31026,1989.0,USA
1187,Underworld: Blood Wars,88484,22101,3717252,Action|Fantasy|Horror,Anna Foerster,Kate Beckinsale,166558,2016.0,USA
1188,Starman,88486,30383,88172,Action|Adventure|Romance|Science Fiction,John Carpenter,"Jeff Bridges, Karen Allen, Charles Martin Smith",3699,1984.0,USA
1189,Juno,88487,34408,467406,Comedy|Drama|Romance,Jason Reitman,"Ellen Page, Michael Cera, Jennifer Garner",56367,2007.0,USA
1190,Night of the Comet,88501,27399,87799,Comedy|Horror|Science Fiction,Thom Eberhardt,"Catherine Mary Stewart, Kelli Maroney, Robert Beltran",2613,1984.0,USA
