index,movieName,databaseId,movieId
12200,Night Crossing (1981),-1,7356
12201,Peyton Place (1957),-1,7357
12202,Searching for Debra Winger (2002),-1,7358
12203,"Child I Never Was, The (Leben lang kurze Hosen Tragen, Ein) (2002)",-1,7363
12204,Intermission (2003),-1,7364
12205,Noi the Albino (Nói albinói) (2003),-1,7365
12206,"Ladykillers, The (2004)",-1,7367
12207,Never Die Alone (2004),-1,7368
12208,A Foreign Affair (2003),-1,7370
12209,Ned Kelly (2003),-1,7372
12210,Home on the Range (2004),-1,7374
12211,"United States of Leland, The (2003)",-1,7377
12212,Johnson Family Vacation (2004),-1,7378
12213,"Whole Ten Yards, The (2004)",-1,7381
12214,I'm Not Scared (Io non ho paura) (2003),-1,7382
12215,Since Otar Left (Depuis qu'Otar est parti...) (2003),-1,7384
12216,Twentynine Palms (2003),-1,7385
12217,"Brother Sun, Sister Moon (Fratello sole, sorella luna) (1972)",-1,7388
12218,One Million Years B.C. (1966),-1,7389
12219,Prey for Rock & Roll (2003),-1,7390
12220,"Mother, Jugs & Speed (1976)",-1,7391
12221,Bandolero! (1968),-1,7392
12222,"Slugger's Wife, The (1985)",-1,7393
12223,Those Magnificent Men in Their Flying Machines (1965),-1,7394
12224,Scenes From a Marriage (Scener ur ett äktenskap) (1973),-1,7396
12225,"Baby, the Rain Must Fall (1965)",-1,7397
12226,Belles on Their Toes (1952),-1,7398
12227,Ned Kelly (1970),-1,7399
12228,Beyond the Stars (1989),-1,7400
12229,Mac (1992),-1,7401
12230,"Food of the Gods, The (1976)",-1,7402
12231,Food of the Gods II (1989),-1,7403
12232,Anna (1987),-1,7404
12233,Road to Bali (1952),-1,7405
12234,"Flying Deuces, The (1939)",-1,7406
12235,Africa Screams (1949),-1,7407
12236,Jack and the Beanstalk (1952),-1,7408
12237,High Risk (1981),-1,7409
12238,"Osterman Weekend, The (1983)",-1,7410
12239,Munchies (1987),-1,7411
12240,"Cat and the Canary, The (1978)",-1,7412
12241,Hangman's Curse (2003),-1,7413
12242,"Late Show, The (1977)",-1,7415
12243,Jersey Girl (1992),-1,7417
12244,"American Nightmare, The (2000)",-1,7418
12245,Viva Las Vegas (1964),-1,7420
12246,"Love and Anarchy (Film d'amore e d'anarchia, ovvero 'stamattina alle 10 in via dei Fiori nella nota casa di tolleranza...') (1973)",-1,7422
12247,Hitman Hart: Wrestling with Shadows (1998),-1,7423
12248,The Jewel (2011),-1,138496
12249,Scialla! (2011),-1,138498
12250,Un moment d'égarement (2015),-1,139713
12251,Bingo Bongo (1982),-1,138500
12252,Ale e Franz - È tanto che aspetti? (2002),-1,138502
12253,High Plains Invaders (2009),-1,176001
12254,Provocateur (1998),-1,138504
12255,Wildfire (1988),-1,138508
12256,Connie and Carla (2004),-1,7437
12257,Kill Bill: Vol. 2 (2004),-1,7438
12258,Paper Clips (2004),-1,7440
12259,"Thousand Clouds of Peace, A (Mil nubes de paz cercan el cielo, amor, jamás acabarás de ser amor) (2003)",-1,7441
12260,Young Adam (2003),-1,7442
12261,This So-Called Disaster (2003),-1,7443
12262,Clifford's Really Big Movie (2004),-1,7446
12263,MC5*: A True Testimonial (2002),-1,7447
12264,Envy (2004),-1,7448
12265,Laws of Attraction (2004),-1,7450
12266,Mickey (2003),-1,7452
12267,New York Minute (2004),-1,7453
12268,"Mudge Boy, The (2003)",-1,7455
12269,Valentin (Valentín) (2002),-1,7456
12270,Breakin' All the Rules (2004),-1,7457
12271,Carandiru (2003),-1,7459
12272,Coffee and Cigarettes (2003),-1,7460
12273,"Strayed (égarés, Les) (2003)",-1,7461
12274,Something Like Summer (2017),-1,176375
12275,A Distant Trumpet (1964),-1,131184
12276,The Set Up (1995),-1,138538
12277,Black Day Blue Night (1996),-1,138540
12278,Dance Me Outside (1994),-1,7471
12279,After Death (2012),-1,138544
12280,"Boys in the Band, The (1970)",-1,7474
12281,Raid (2003),-1,7475
12282,Eye See You (D-Tox) (2002),-1,7477
12283,Swimming to Cambodia (1987),-1,7478
12284,Watch on the Rhine (1943),-1,7479
12285,Under Fire (1983),-1,7480
12286,Foreign Land (Terra Estrangeira) (1996),-1,7483
12287,Gimme Shelter (1970),-1,7484
12288,Good Morning (Ohayô) (1959),-1,7485
12289,Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) (1997),-1,7486
12290,Henry & June (1990),-1,7487
12291,Berkeley in the '60s (1990),-1,7488
12292,"Nasty Girl, The (schreckliche Mädchen, Das) (1990)",-1,7489
12293,At First Sight (Entre Nous) (Coup de foudre) (1983),-1,7490
12294,"Naked Prey, The (1966)",-1,7491
12295,Martin (1977),-1,7492
12296,"Three Faces of Eve, The (1957)",-1,7493
12297,The Employer (2013),-1,138566
12298,Black Oak Conspiracy (1977),-1,132321
12299,Top of the World (1998),-1,138568
12300,Find Me (2014),-1,138570
12301,House of the Long Shadows (1983),-1,176013
12302,Brutal (2012),-1,138576
12303,"Kingdom, The (Riget) (1994)",-1,7505
12304,Act of Vengeance (1974),-1,132323
12305,I Can See You (2008),-1,138580
12306,Criminal Passion (1994),-1,138582
12307,The Ex (1997),-1,138584
12308,Shark Week (2012),-1,138586
12309,Frankenstein Created Woman (1967),-1,176015
12310,The Hit List (1993),-1,138588
12311,The Return of Count Yorga (1971),-1,132325
12312,Ravager (1997),-1,138592
12313,Mercy (2000),-1,7521
12314,Desperate Hours (1990),-1,7523
12315,Doomsday Man (2000),-1,138596
12316,A Dream of Kings (1969),-1,131186
12317,The Treat (1998),-1,138598
12318,"Passion of Ayn Rand, The (1999)",-1,7528
12319,"Like Father, Like Son (1965)",-1,132327
12320,Vote and Die: Liszt for President (2008),-1,138604
12321,The Rise and Rise of Bitcoin (2014),-1,138606
12322,President (2006),-1,138608
12323,Du côté de la côte (1958),-1,7537
12324,The Gallows (2015),-1,138610
12325,Childish Games (2012),-1,135551
12326,Memory Lane (2011),-1,138612
12327,100 Girls (2000),-1,7541
12328,The Wedding Chest (2005),-1,138618
12329,Christian Finnegan: The Fun Part (2014),-1,138620
12330,Coons! Night of the Bandits of the Night (2005),-1,138622
12331,Dead and Deader (2006),-1,176021
12332,Elon Gold: Chosen and Taken (2014),-1,138624
12333,Giordano Bruno (1973),-1,138626
12334,Edge of Sanity (1989),-1,132331
12335,In My Dreams (2014),-1,138630
12336,Fail-Safe (1964),-1,7560
12337,Paperhouse (1988),-1,7561
12338,Dobermann (1997),-1,7562
12339,"Discovery of Heaven, The (2001)",-1,7563
12340,Kwaidan (Kaidan) (1964),-1,7564
12341,Cat-Women of the Moon (a.k.a. Rocket to the Moon) (1953),-1,7565
12342,28 Up (1985),-1,7566
12343,Chance (2002),-1,7567
12344,Love Life (2001),-1,7568
12345,"Blue Gardenia, The (1953)",-1,7571
12346,Wit (2001),-1,7572
12347,Never Say Never Again (1983),-1,7573
12348,Maborosi (Maboroshi no hikari) (1995),-1,7574
12349,Carry On Camping (1969),-1,176025
12350,Number One Fan (1997),-1,138648
12351,"Magic Flute, The (Trollflöjten) (1975)",-1,7577
12352,"Man in the Gray Flannel Suit, The (1956)",-1,7580
12353,"Fountainhead, The (1949)",-1,7581
12354,Old Acquaintance (1943),-1,7582
12355,In This Our Life (1942),-1,7583
12356,Woman of the Year (1942),-1,7584
12357,Summertime (1955),-1,7585
12358,Soldier of Orange (a.k.a. Survival Run) (Soldaat van Oranje) (1977),-1,7586
12359,"Samouraï, Le (Godson, The) (1967)",-1,7587
12360,Eadweard (2015),-1,138660
12361,Taken in Broad Daylight (2009),-1,138662
12362,Hannah's Law (2012),-1,138666
12363,Black Rain (2009),-1,138668
12364,I Am Soldier (2014),-1,132338
12365,Paparazzi Princess: The Paris Hilton Story (2008),-1,138670
12366,The Crazy Life (La vida loca) (2008),-1,135553
12367,Spiders (2000),-1,138674
12368,One Last Ride (2006),-1,138676
12369,Basilicata Coast to Coast (2010),-1,138680
12370,The Dead 2: India (2013),-1,132340
12371,Smash Cut (2009),-1,138682
12372,Waar (2013),-1,138684
12373,White Palace (1990),-1,7613
12374,Desert Hearts (1985),-1,7615
12375,Body Double (1984),-1,7616
12376,"Miracle Worker, The (1962)",-1,7619
12377,Monster in a Box (1992),-1,7620
12378,Vengo (2000),-1,7621
12379,"Midnight (Primeiro Dia, O) (1998)",-1,7622
12380,If You Only Knew (2000),-1,7623
12381,Girl (1998),-1,7625
12382,Switch (1991),-1,7626
12383,Just Write (1997),-1,7627
12384,Feast (2014),-1,138702
12385,A Rage To Live (1965),-1,138704
12386,Holiday in the Sun (2001),-1,132344
12387,Adventure (1945),-1,138706
12388,Raising Cain (1992),-1,7636
12389,Irma Vep (1996),-1,7637
12390,Buck Privates (1941),-1,7638
12391,Nice Guys Sleep Alone (1999),-1,7639
12392,Bombers B-52 (1957),-1,138713
12393,Bong of the Dead (2011),-1,157377
12394,Divorce Iranian Style (1998),-1,7644
12395,Iron & Silk (1990),-1,7645
12396,Rose Red (2002),-1,7646
12397,Noises Off... (1992),-1,7647
12398,Wildflowers (1999),-1,7648
12399,Babylon 5: In the Beginning (1998),-1,7649
12400,"Witchfinder General (Conquerer Worm, The) (1968)",-1,7650
12401,Give a Girl A Break (1953),-1,138724
12402,Versus (2000),-1,7657
12403,Heart of the North (1938),-1,138730
12404,Four Rode Out (1970),-1,138732
12405,Haunting of Cellblock 11 (2014),-1,138740
12406,Pride and Prejudice (1995),-1,7669
12407,Horror in the Wind (2008),-1,138742
12408,Uptown (2009),-1,138744
12409,"Canterville Ghost, The (1944)",-1,7675
12410,The Mutilation Man (2011),-1,138748
12411,Crawl or Die (2014),-1,138750
12412,Cloned: The Recreator Chronicles (2012),-1,138752
12413,Spiders (2013),-1,132352
12414,The Rift (1990),-1,138754
12415,Jacob (2011),-1,138758
12416,Get Lucky (2013),-1,138760
12417,The Collective (2008),-1,138762
12418,Syncopation (1942),-1,132354
12419,Never Ever (1997),-1,138766
12420,"Prince and the Showgirl, The (1957)",-1,7697
12421,Who the Hell Is Juliette? (¿Quién diablos es Juliette?) (1997),-1,7699
12422,"Wages of Fear, The (Salaire de la peur, Le) (1953)",-1,7700
12423,"Bells of St. Mary's, The (1945)",-1,7702
12424,You Light Up My Life (1977),-1,7703
12425,Pat and Mike (1952),-1,7705
12426,"He Said, She Said (1991)",-1,7707
12427,Bedazzled (1967),-1,7708
12428,Skateboard (1978),-1,164985
12429,Marked for Murder (1989),-1,138782
12430,This Is Not a Movie (2011),-1,138784
12431,"Lonely Guy, The (1984)",-1,7716
12432,N.H 10 (2015),-1,132358
12433,Complicity (2013),-1,138790
12434,"Comedy of Terrors, The (1964)",-1,7719
12435,"Four Musketeers, The (1974)",-1,7720
12436,Shank (2010),-1,138794
12437,Good Guys Wear Black (1978),-1,7723
12438,Steel Dawn (1987),-1,7724
12439,On Deadly Ground (1994),-1,7725
12440,Boy Meets Girl (1998),-1,7726
12441,Protocol (1984),-1,7727
12442,"Postman Always Rings Twice, The (1946)",-1,7728
12443,Book of Blood (2009),-1,132360
12444,Matinee (1993),-1,7730
12445,Finding Fanny (2014),-1,138804
12446,The Blue Lamp (1950),-1,138806
12447,"The Death of ""Superman Lives"": What Happened? (2015)",-1,138808
12448,That's The Way I Like It (a.k.a. Forever Fever) (1998),-1,7738
12449,Virtual Sexuality (1999),-1,7739
12450,Impasse (1969),-1,138812
12451,Patlabor 2: The Movie (1993),-1,132362
12452,Baxter (1989),-1,7742
12453,In Heaven There Is No Beer? (1984),-1,138816
12454,"Scent of Green Papaya, The (Mùi du du xhan - L'odeur de la papaye verte) (1993)",-1,7745
12455,Killer Leopard (1954),-1,138818
12456,Pierrot le fou (1965),-1,7748
12457,Weekend (a.k.a. Le Week-end) (Week End) (1967),-1,7749
12458,"Hundred and One Nights, A (Cent et une nuits de Simon Cinéma, Les) (1995)",-1,7750
12459,Strange Cargo (1940),-1,7751
12460,Seven Girlfriends (1999),-1,7752
12461,Tuesdays with Morrie (1999),-1,7753
12462,Temptation of a Monk (You Seng) (1993),-1,7754
12463,Alexander Nevsky (Aleksandr Nevskiy) (1938),-1,7756
12464,Jason and the Argonauts (1963),-1,7757
12465,Same Old Song (On connaît la chanson) (1997),-1,7758
12466,Nostalghia (1983),-1,7759
12467,"Soft Skin, The (La peau douce) (1964)",-1,7761
12468,"Tinker, Tailor, Soldier, Spy (1979)",-1,7762
12469,Winter Sleepers (Winterschläfer) (2000),-1,7763
12470,"Driller Killer, The (1979)",-1,7764
12471,Perfectly Normal (1990),-1,7765
12472,Throne of Blood (Kumonosu jô) (1957),-1,7766
12473,"Best of Youth, The (La meglio gioventù) (2003)",-1,7767
12474,Guncrazy (1992),-1,7768
12475,Legend of the Village Warriors (Bangrajan) (2000),-1,7769
12476,Treasure Island (1990),-1,7770
12477,Zorba the Greek (Alexis Zorbas) (1964),-1,7771
12478,Undercurrent (1946),-1,7772
12479,"Bang, Bang, You're Dead (2002)",-1,7773
12480,My Side of the Mountain (1969),-1,7774
12481,"Thin Blue Lie, The (2000)",-1,7775
12482,Svengali (1983),-1,138848
12483,Exaella (2011),-1,132368
12484,"Unsaid, The (2001)",-1,7778
12485,The Revengers' Comedies (1998),-1,138852
12486,Twister (1990),-1,7781
12487,Don't Tell Anyone (No se lo digas a nadie) (1998),-1,7783
12488,Ghost in the Machine (1993),-1,7784
12489,"Time for Drunken Horses, A (Zamani barayé masti asbha) (2000)",-1,7785
12490,Genghis Blues (1999),-1,7786
12491,To Hell and Back (1955),-1,7787
12492,"11'09""01 - September 11 (2002)",-1,7789
12493,"Bon Voyage, Charlie Brown (and Don't Come Back!) (1980)",-1,7790
12494,Internal Affairs (1990),-1,7791
12495,The Dream Team (2012),-1,138868
12496,The Dream Team (2012),-1,138870
12497,Rommel (2012),-1,132372
12498,The Escape (2009),-1,138876
12499,La Fuga (2001),-1,138878
12500,Mayerling (1968),-1,7808
12501,Ambush (Rukajärven tie) (1999),-1,7809
12502,Babylon 5: A Call to Arms (1999),-1,7810
12503,Babylon 5: The River of Souls (1998),-1,7811
12504,Babylon 5: Thirdspace (1998),-1,7812
12505,FM (1978),-1,7813
12506,Waterloo (1970),-1,7814
12507,True Stories (1986),-1,7815
12508,North Beach (2000),-1,7816
12509,Zardoz (1974),-1,7817
12510,School For Scoundrels (1960),-1,7818
12511,"Virgin Spring, The (Jungfrukällan) (1960)",-1,7820
12512,Ice-Cold in Alex (1958),-1,7821
12513,Mogambo (1953),-1,7822
12514,Demon Lover Diary (1980),-1,7823
12515,Second Skin (Segunda Piel) (1999),-1,7824
12516,Victory (1995),-1,7825
12517,"Secret Life of Walter Mitty, The (1947)",-1,7826
12518,Cypher (2002),-1,7827
12519,"Rack, The (1956)",-1,7828
12520,Another Thin Man (1939),-1,7831
12521,"Thin Man Goes Home, The (1945)",-1,7832
12522,Shadow of the Thin Man (1941),-1,7833
12523,After the Thin Man (1936),-1,7834
12524,Song of the Thin Man (1947),-1,7835
12525,Woodstock (1970),-1,7836
12526,36 fillette (1988),-1,7837
12527,"Internecine Project, The (1974)",-1,7838
12528,Love Crazy (1941),-1,7839
12529,Gunga Din (1939),-1,7840
12530,Children of Dune (2003),-1,7841
12531,Dune (2000),-1,7842
12532,Lammbock (2001),-1,7843
12533,"Legend, The (Legend of Fong Sai-Yuk, The) (Fong Sai Yuk) (1993)",-1,7844
12534,Tremors II: Aftershocks (1996),-1,7845
12535,"Peanut Butter Solution, The (1985)",-1,7847
12536,Trapped (1949),-1,138921
12537,Hallelujah I'm a Bum (1933),-1,7850
12538,Trapped (2013),-1,138923
12539,Dark Asylum (2001),-1,138925
12540,The Admiral: Roaring Currents (2014),-1,132381
12541,Trapped (1982),-1,138929
12542,Trapped (1973),-1,138933
12543,Two O'Clock Courage (1945),-1,138935
12544,Duska (2007),-1,138940
12545,Little Hope Was Arson (2013),-1,138942
12546,Getting It Right (1989),-1,7872
12547,The Domino Principle (1977),-1,132384
12548,Kevin (2011),-1,138946
12549,The Defiant Ones (2017),-1,176075
12550,Aladdin and the Death Lamp (2012),-1,138948
12551,Notorious C.H.O. (2002),-1,7879
12552,Friday Night (Vendredi Soir) (2002),-1,7880
12553,White Zombie (1932),-1,7881
12554,The Plague of the Zombies (1966),-1,7882
12555,I Walked with a Zombie (1943),-1,7883
12556,Highway 61 (1991),-1,7884
12557,"Vampire Lovers, The (1970)",-1,7885
12558,Countess Dracula (1972),-1,7886
12559,"Cheerleaders, The (1973)",-1,7887
12560,The Left Handed Gun (1958),-1,7890
12561,"Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)",-1,7891
12562,"Street Fighter, The (Gekitotsu! Satsujin ken) (1974)",-1,7892
12563,Return of the Street Fighter (Satsujin ken 2) (1974),-1,7893
12564,"Duck, You Sucker (1971)",-1,7894
12565,Bring Me the Head of Alfredo Garcia (1974),-1,7895
12566,Ride the High Country (1962),-1,7896
12567,"Ballad of Cable Hogue, The (1970)",-1,7897
12568,Junior Bonner (1972),-1,7898
12569,Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),-1,7899
12570,Frankenstein Must Be Destroyed (1969),-1,7900
12571,"Haunted Palace, The (1963)",-1,7901
12572,Room 314 (2006),-1,138976
12573,Stealing Candy (2003),-1,138978
12574,Liars All (2013),-1,138980
12575,Riot (1969),-1,132390
12576,Finder's Fee (2001),-1,7912
12577,"Whip and the Body, The (Frusta e il corpo, La) (1963)",-1,7913
12578,Berlin: Symphony of a Great City (Berlin: Die Sinfonie der Großstadt) (1927),-1,7914
12579,Samurai Fiction (SF: Episode One) (1998),-1,7915
12580,Gidget (1959),-1,7916
12581,Wild in the Streets (1968),-1,7917
12582,"Indian Runner, The (1991)",-1,7918
12583,Drunken Angel (Yoidore tenshi) (1948),-1,7919
12584,Desperate Living (1977),-1,7920
12585,"Devil's Rain, The (1975)",-1,7921
12586,"Valachi Papers,The (1972)",-1,7922
12587,Stray Dog (Nora inu) (1949),-1,7924
12588,"Hidden Fortress, The (Kakushi-toride no san-akunin) (1958)",-1,7925
12589,High and Low (Tengoku to jigoku) (1963),-1,7926
12590,After the Rehearsal (Efter repetitionen) (1984),-1,7928
12591,My New Gun (1992),-1,7931
12592,Dark Days (2000),-1,7932
12593,Zelig (1983),-1,7934
12594,Face to Face (Ansikte mot ansikte) (1976),-1,7935
12595,Shame (Skammen) (1968),-1,7936
12596,"Silence, The (Tystnaden) (1963)",-1,7937
12597,Winter Light (Nattvardsgästerna) (1963),-1,7938
12598,Through a Glass Darkly (Såsom i en spegel) (1961),-1,7939
12599,The Magician (1958),-1,7940
12600,Smiles of a Summer Night (Sommarnattens leende) (1955),-1,7941
12601,Summer with Monika (Sommaren med Monika) (1953),-1,7942
12602,"Killers, The (1946)",-1,7943
12603,Freud: The Secret Passion (1962),-1,7945
12604,Reflections in a Golden Eye (1967),-1,7946
12605,Under the Volcano (1984),-1,7947
12606,Wise Blood (1979),-1,7948
12607,"Yakuza, The (1975)",-1,7949
12608,"Better Place, A (1997)",-1,7950
12609,Beyond the Door II (Schock) (Shock) (Suspense) (1977),-1,7952
12610,Rabid Dogs (1974),-1,7953
12611,"Baron Blood (Orrori del castello di Norimberga, Gli) (1972)",-1,7954
12612,Saviour Square (2006),-1,139028
12613,Operation C.I.A. (1965),-1,132398
12614,Bloody Mama (1970),-1,7958
12615,"Trip, The (1967)",-1,7959
12616,"Och, Karol 2 (2011)",-1,139032
12617,The Closed Circuit (2013),-1,139034
12618,World Gone Wild (1988),-1,139036
12619,Fantasma d'amore (1981),-1,139040
12620,That Night (1993),-1,139042
12621,Triptych (1979),-1,139044
12622,My Golden Days (2015),-1,139046
12623,Ken Park (2002),-1,7976
12624,In No Great Hurry: 13 Lessons in Life with Saul Leiter (2014),-1,139050
12625,Monterey Pop (1968),-1,7979
12626,Infernal Affairs (Mou gaan dou) (2002),-1,7981
12627,"Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)",-1,7982
12628,Broadway Danny Rose (1984),-1,7983
12629,The Wonderful Ice Cream Suit (1998),-1,7985
12630,Robot Jox (1990),-1,7986
12631,Space Truckers (1996),-1,7988
12632,Not of This Earth (1988),-1,7989
12633,Rock 'N' Roll High School (1979),-1,7990
12634,Death Race 2000 (1975),-1,7991
12635,Cockfighter (1974),-1,7992
12636,"Bucket Of Blood, A (1959)",-1,7993
12637,"Premature Burial, The (1962)",-1,7994
12638,"Wild Angels, The (1966)",-1,7995
12639,In Another Country (2012),-1,139068
12640,Bump in the Night (1991),-1,139072
12641,The Marriage of Figaro (1975),-1,139074
12642,Bedlam (1946),-1,8003
12643,Planet of the Vampires (Terrore nello spazio) (1965),-1,8004
12644,Hotel Colonial (1987),-1,132406
12645,Born Killers (2005),-1,131202
12646,Pure Country (1992),-1,8007
12647,Marjorie Morningstar (1958),-1,8009
12648,"Power of One, The (1992)",-1,8010
12649,"Weather Underground, The (2002)",-1,8011
12650,Kikujiro (Kikujirô no natsu) (1999),-1,8012
12651,I'm with Lucy (2002),-1,8013
12652,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",-1,8014
12653,"Phantom Tollbooth, The (1970)",-1,8015
12654,10 Rillington Place (1971),-1,8017
12655,The U (2009),-1,139090
12656,Dark Water (Honogurai mizu no soko kara) (2002),-1,8019
12657,"Run, Ricky Run (2010)",-1,139092
12658,Little Big Men (2010),-1,139094
12659,"Thing Called Love, The (1993)",-1,8024
12660,The Thief (1997),-1,8025
12661,Four Days in October (2010),-1,139098
12662,Once Brothers (2010),-1,139100
12663,Pony Excess (2010),-1,139102
12664,9.79* (2012),-1,139104
12665,You Don't Know Bo (2012),-1,139106
12666,"Stendhal Syndrome, The (Sindrome di Stendhal, La) (1996)",-1,8035
12667,Elway To Marino (2013),-1,139108
12668,Non-Stop (1996),-1,8037
12669,Manslaughter (1922),-1,8038
12670,Brain Donors (1992),-1,8040
12671,Passed Away (1992),-1,8041
12672,Jack the Bear (1993),-1,8043
12673,I Am a Fugitive from a Chain Gang (1932),-1,8044
12674,Nearlyweds (2013),-1,139118
12675,Mustang (2015),-1,139120
12676,The Tender Game (1958),-1,139122
12677,Microbe et Gasoil (2015),-1,139124
12678,Géraldine (2000),-1,132414
12679,The Third Lover (1962),-1,139126
12680,"Last Broadcast, The (1998)",-1,8055
12681,Harper (1966),-1,8056
12682,Sweet Bird of Youth (1962),-1,8057
12683,Afro Samurai (2007),-1,139130
12684,Plastic Little: The Adventures of Captain Tita (1994),-1,139132
12685,Paradise (1991),-1,8063
12686,Veyyil (2006),-1,139136
12687,Laura's Star (2004),-1,132416
12688,Born to Race (1988),-1,131204
12689,Sundays and Cybele (Les dimanches de Ville d'Avray) (1962),-1,8068
12690,Comes a Horseman (1978),-1,8069
12691,Grill Point (Halbe Treppe) (2002),-1,8070
12692,Hardflip (2012),-1,139144
12693,The Steagle (1971),-1,139146
12694,Bajrangi Bhaijaan (2015),-1,139148
12695,The Marine 4: Moving Target (2015),-1,132418
12696,Subramaniapuram (2008),-1,139150
12697,Eli (2015),-1,139153
12698,Un fidanzato per mia moglie (2014),-1,139155
12699,Massu Engira Maasilamani (2015),-1,139157
12700,Aadhavan (2009),-1,139159
12701,Babar: King of the Elephants (1999),-1,132420
12702,Frankenstein Unbound (1990),-1,8092
12703,Shiri (Swiri) (1999),-1,8093
12704,Bad Day at Black Rock (1955),-1,8094
12705,"Cucaracha, La (1998)",-1,8095
12706,Da Sweet Blood of Jesus (2014),-1,132422
12707,Madonna che silenzio c'è stasera (1982),-1,139175
12708,"Io, Chiara e lo scuro (1982)",-1,139177
12709,Taste of Killing (1966),-1,139181
12710,The Price of Power (1969),-1,139183
12711,My Dear Killer (1972),-1,139187
12712,In China They Eat Dogs (I Kina spiser de hunde) (1999),-1,8117
12713,Delta Force 2 (Delta Force 2: The Colombian Connection) (1990),-1,8118
12714,Crossroads (1986),-1,8119
12715,29th Street (1991),-1,8120
12716,"Seducing Doctor Lewis (Grande séduction, La) (2003)",-1,8121
12717,City Limits (1984),-1,8122
12718,Sammy and Rosie Get Laid (1987),-1,8123
12719,Leaving Normal (1992),-1,8124
12720,Sunrise: A Song of Two Humans (1927),-1,8125
12721,Shock Corridor (1963),-1,8126
12722,"First $20 Million Is Always the Hardest, The (2002)",-1,8127
12723,Sex: The Annabel Chong Story (1999),-1,8129
12724,"Girl Next Door, The (1999)",-1,8130
12725,Pursuit of Happiness (2001),-1,8131
12726,"Inheritance, The (Arven) (2003)",-1,8133
12727,Wonderful Days (a.k.a. Sky Blue) (2003),-1,8134
12728,Intruder (1989),-1,139207
12729,Indestructible Man (1956),-1,8136
12730,"Wasp Woman, The (1959)",-1,8137
12731,Attack of the Giant Leeches (1959),-1,8138
12732,The Cruel Sea (1953),-1,8140
12733,Sodom and Gomorrah (1962),-1,8141
12734,Dead or Alive: Hanzaisha (1999),-1,8142
12735,Lola Montès (1955),-1,8143
12736,Misbegotten (1998),-1,139217
12737,Charly (1968),-1,8147
12738,Twice Upon a Time (1983),-1,8148
12739,"Atlantis, the Lost Continent (1961)",-1,8149
12740,Walkout (2006),-1,139223
12741,Lust for Life (1956),-1,8153
12742,"Dolce Vita, La (1960)",-1,8154
12743,Jin Roh: The Wolf Brigade (Jin-Rô) (1998),-1,8157
12744,Rush (1991),-1,8158
12745,Encounter at Raven's Gate (1988),-1,170397
12746,Anatomy of a Psycho (1961),-1,139235
12747,Occupants (2015),-1,179217
12748,Canal Zone (1977),-1,139237
12749,Captain Blood (1935),-1,8167
12750,"Lift, De (1983)",-1,8168
12751,*batteries not included (1987),-1,8169
12752,Strike Force (1975),-1,139243
12753,Metamorphosis (1990),-1,139245
12754,Last Will (2011),-1,139249
12755,Sweet Lorraine (2015),-1,139251
12756,Identical (2011),-1,139253
12757,Educating Rita (1983),-1,8183
12758,Sweet Sugar (1972),-1,132436
12759,On Moonlight Bay (1951),-1,8187
12760,Sansho the Bailiff (Sanshô dayû) (1954),-1,8188
12761,Zazie dans le métro (1960),-1,8189
12762,Anne of the Thousand Days (1969),-1,8191
12763,Baby Doll (1956),-1,8194
12764,"Avventura, L' (Adventure, The) (1960)",-1,8195
12765,Hiroshima Mon Amour (1959),-1,8197
12766,"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)",-1,8198
12767,Ugetsu (Ugetsu monogatari) (1953),-1,8199
12768,Ordinary Wonder (1964),-1,175507
12769,At Play in the Fields of the Lord (1991),-1,8201
12770,"Golden Coach, The (Le carrosse d'or) (1953)",-1,8202
12771,"War Is Over, The (Guerre est finie, La) (1966)",-1,8203
12772,The Last Light (2014),-1,139277
12773,Mystery of the Wax Museum (1933),-1,8206
12774,"Razor's Edge, The (1946)",-1,8208
12775,Cannabis (1970),-1,132440
12776,The Hanged Man (2007),-1,139283
12777,Dracula's Widow (1988),-1,139285
12778,Soviet Toys (1924),-1,174765
12779,Ghost Fever (1987),-1,139287
12780,Compound Fracture (2013),-1,131209
12781,The Shattering (2015),-1,139289
12782,War of the Buttons (1994),-1,8221
12783,The Movie Out Here (2012),-1,139295
12784,"Dexter the Dragon & Bumble the Bear (a.k.a. Dragon That Wasn't (Or Was He?), The) (Als je begrijpt wat ik bedoel) (1983)",-1,8224
12785,Drums Along the Mohawk (1939),-1,8227
12786,"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)",-1,8228
12787,Hollows Grove (2014),-1,139301
12788,Outrage: Born in Terror (2009),-1,139303
12789,I Love You Again (1940),-1,8232
12790,Nuntius (2014),-1,132444
12791,Safety Last! (1923),-1,8235
12792,While the City Sleeps (1956),-1,8236
12793,"Way Ahead, The (a.k.a. The Immortal Battalion) (1944)",-1,8237
12794,Little Murders (1971),-1,8238
12795,Viridiana (1961),-1,8239
12796,Totally F***ed Up (1993),-1,8240
12797,LA Apocalypse (2014),-1,139315
